DUR	Of course, they would be closing in 5 minutes, so I would have to hurry up or get it the next day.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long until they close? Which time unit best describes it?
FREQ	Never had a problem with the staff and found them very helpful when something went wrong.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often do problems occur that require staff help? Which time unit best describes it?
TYP	Emergency teams in the southern US are battling to reach survivors of Hurricane Katrina, the most destructive storm to hit the country in decades.	25 26 27 28 29 30 31 32 33 34 35 36	0.0 0.0 0.0 0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0	At what time of year do hurricanes like Hurricane Katrina usually occur? Which time unit best describes it?
FREQ	The pictures are broadcast at a rate of about 60 Hz, which is how fast they need to move for us to see them as a moving, flawless picture.	43 44 45 46 47 48 49 50 51 120 121 122	0.7412392700826488 0.24912843928090708 0.009458406390501939 0.00016606286478555588 7.30646267660146e-06 5.120999881870982e-07 2.807187666675083e-09 1.1281434169352893e-11 2.2746998844715235e-14 0.0 0.0 0.0	How often are the pictures broadcast? Which time unit best describes it?
TYP	If you're not presently married, and want to be, you just might wed by the end of the year.	25 26 27 28 29 30 31 32 33 34 35 36	0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001 0.157 0.683	At what time does this usually happen? Which time unit best describes it?
DUR	I know that if my garage door needs to be repaired, I will be calling A CLASS Garage Doors.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long will the phone call to A CLASS Garage Doors last? Which time unit best describes it?
TYP	Is there any good places to get an ice-cream sundae from in Invercargill, New Zealand?	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	At what time does getting an ice-cream sundae usually happen? Which time unit best describes it?
TYP	$113 m - Amount raised by the Bush-Cheney 2000 campaign, the most in American electoral history.	25 26 27 28 29 30 31 32 33 34 35 36	0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001 0.157 0.683 0.157	At what time does this usually happen? Which time unit best describes it?
DUR	Does the BTA have to be paid first to come to Canada?	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long does it take to pay the BTA to come to Canada? Which time unit best describes it?
DUR	I'll also trot doing down 2 beats, up one for a while, then up 2 down 1, making sure the weight is going into the balls of my feet.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long does the trotting/pattern last? Which time unit best describes it?
DUR	I recently got a tattoo done at Aztec, and I could not be happier.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long did it take to get the tattoo? Which time unit best describes it?
DUR	I think just living in a house with so many girls is making him go crazy?	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long has he been living in a house with so many girls? Which time unit best describes it?
TYP	She was way easy to work with and made my wedding day so easy, and she got some amazing pictures, not only of me, but of my family and friends.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	When do weddings like this usually happen? Which time unit best describes the typical time?
TYP	"I was like, ""Ummmm, I can see your ass cheeks..."" he was like, ""Oops, did I forget my underwear???"""	10 11 12 13 14 15 16 17 120 121 122 123	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.001 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes when someone forgets their underwear?
DUR	The people abandoned their farms and religious sites, and the ground they stood on became moorland.	1 2 3 4 5 6 7 8 9 120 121 122	5.572730351111348e-12 6.296884648723474e-08 8.037356297882278e-05 0.004603998728773229 0.02870209972984776 0.08174969138345407 0.25935558127072855 0.3661526110790698 0.25935558127072855 0.0 0.0 0.0	How long did it take for the people to abandon their farms and for the ground to become moorland? Which time unit best describes it?
FREQ	"Hmmm, she says, ""Then why are you calling here? We don't go past Broad."""	43 44 45 46 47 48 49 50 51 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How often do they go past broad? Which time unit best describes it?
FREQ	2) The employees constantly talk down to customers and are very argumentative for the sake of being argumentative.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often do the employees talk down to customers? Which time unit best describes it?
DUR	they do that whole thing where you sandwich the pepperoni between layers of cheese for +32 delicious.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long does it take to sandwich the pepperoni between layers of cheese? Which time unit best describes it?
DUR	I have tried putting him in a small container and putting him in a dark place for an hour or so, and he won't touch the pinky.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long did you keep him in the small container in the dark? Which time unit best describes it?
DUR	Let her explore; when we moved, my cat had to explore the entire house before she felt comfortable.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long did it take the cat to explore the entire house? Which time unit best describes it?
DUR	$80,000 - Amount an Iraqi firm spent (using Saddam's confiscated funds) to build the same factory, after delays prevented the American firm from starting it.	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long did it take to build the factory? Which time unit best describes it?
FREQ	Parmesan has spent much of her career studying the checkerspot butterfly, which migrates between Mexico and southern California.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often does the checkerspot butterfly migrate between Mexico and southern California? Which time unit best describes it?
TYP	This will get you on the RER B line going into town.	10 11 12 13 14 15 16 17 120 121 122 123	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.001 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes it?
TYP	No silverware, asked for a spoon for my son's mac and cheese; ended up having to use my teaspoon.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes when a child would eat mac and cheese?
DUR	answered all my questions, and called me back when I needed something.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long did it take them to answer all my questions? Which time unit best describes it?
TYP	They were very polite, eager to answer any questions, and willing to wait for us to return from vacation to begin installing our fence.	37 38 39 40 120 121 122 123 124 125 126 127	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes when they begin installing the fence?
FREQ	However, they would never drive the car with me in it to prove their findings.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often would they drive the car with me in it to prove their findings? Which time unit best describes it?
DUR	$44 m - Amount the Bush - Cheney 2000 campaign and the Republican National Committee received in contributions from the fossil fuel, chemical, timber, and mining industries.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long did it take for the Bush - Cheney 2000 campaign and the Republican National Committee to receive these contributions? Which time unit best describes it?
FREQ	I have use them four times for fixing items, from pushing out a dent in a bumper to fixing the fender on my beloved Miata.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often have I used them for fixing items? Which time unit best describes it?
FREQ	Logic says no, but logic seldom plays any part in modern American politics.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often does logic play a part in modern American politics? Which time unit best describes it?
TYP	62% of gas masks that army investigators discovered did not work properly in autumn 2002.	37 38 39 40 120 121 122 123 124 125 126 127	0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When did army investigators discover that the gas masks did not work properly? Which time unit best describes it?
DUR	Many illegals were not counted in the population until the mid-80s.	1 2 3 4 5 6 7 8 9 120 121 122	5.572730351111348e-12 6.296884648723474e-08 8.037356297882278e-05 0.004603998728773229 0.02870209972984776 0.08174969138345407 0.25935558127072855 0.3661526110790698 0.25935558127072855 0.0 0.0 0.0	How long were many illegals not counted in the population? Which time unit best describes it?
TYP	I HAD TO ASK THE GIRL WHO BROUGHT MY FOOD, AND SHE NEVER CAME BACK TO LET ME KNOW.	10 11 12 13 14 15 16 17 120 121 122 123	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes when someone brings my food?
FREQ	It took the Vigor team only 4 visits to get me feeling normal!	43 44 45 46 47 48 49 50 51 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How often did the Vigor team visit to get me feeling normal? Which time unit best describes how often they visited?
FREQ	George W. Bush and his administration have consistently undertaken incredibly dangerous courses of action in order to garner political power on the home front.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often have George W. Bush and his administration undertaken incredibly dangerous courses of action to garner political power on the home front? Which time unit best describes it?
DUR	When she was a tiny little kitten, she looked like those twinky snack cakes.	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long was she a tiny little kitten? Which time unit best describes how long she was a tiny kitten?
TYP	We had frosts in October, so I wouldn't advise visiting late in the year; to be honest, springtime is your best bet.	37 38 39 40 120 121 122 123 124 125 126 127	0.683 0.157 0.001 0.157 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time is it best to visit? Which time unit best describes it?
TYP	because I have read that there are times it's not available.	10 11 12 13 14 15 16 17 120 121 122 123	0.001 0.0 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0	At what time is it usually not available? Which time unit best describes when it's not available?
FREQ	"Stop trying to pawn your brats off on others to ""get a break."""	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often do people pawn their brats off on others to get a break? Which time unit best describes it?
DUR	Then, they sold me overpriced stuff, such as an oil tank cap, so that my car can pass it right away.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long did it take for them to sell me the overpriced parts so my car could pass right away? Which time unit best describes it?
DUR	I personally trust this Midas store with all my vehicles; I have been going there for years and would never go anywhere else!	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long has the person been going to the Midas store? Which time unit best describes it?
TYP	Should the Arctic Ocean become ice-free in summer, it is likely that polar bears and some seal species would be driven toward extinction, the report concluded.	37 38 39 40 120 121 122 123 124 125 126 127	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When would the Arctic Ocean become ice-free according to the report? Which time unit best describes it?
FREQ	I just wanted to try your clinic because I was not totally happy with my current therapist I regularly see.	43 44 45 46 47 48 49 50 51 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How often do I see my current therapist? Which time unit best describes it?
FREQ	I had to cancel my initial lesson 4 times, and on the 5th attempt, the management was quick enough to associate my cancellations with my fear and finally encouraged me into taking my initial lesson.	43 44 45 46 47 48 49 50 51 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How often did they cancel the initial lesson? Which time unit best describes it?
FREQ	What you project will always come back to either reward or haunt you.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often does what you project come back to reward or haunt you? Which time unit best describes it?
TYP	With extra blackworms and maybe frozen (defrosted, rinsed) frozen foods earlier in the day, they may leave 30–40 eggs at a time.	10 11 12 13 14 15 16 17 120 121 122 123	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.001 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes it?
FREQ	I look at some of these other comments & laugh because people think that the world revolves around them!	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often do I laugh at these comments? Which time unit best describes it?
DUR	Dr. Fortier travelled another three kilometres by foot to seek help in the nearest settlement.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long did it take to travel three kilometres by foot to seek help? Which time unit best describes it?
DUR	If you can't even do basic math, you'll never figure out how to use a DSLR camera properly.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long would it take to figure out how to use a DSLR camera properly? Which time unit best describes it?
DUR	Several years ago, I developed a short paper-and-pencil screening test which, in a small pilot study, discriminated between ADHD, LD, and control subjects.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long did it take to develop the screening test? Which time unit best describes it?
DUR	"I'm around 5'2"" - 5'4"", 11 years old, and I'm wondering what size horse I'll need that I won't grow out of quickly?"	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long will it take before I grow out of the horse? Which time unit best describes it?
FREQ	I am nervous that my other fish will eat them, and I don't know what to feed them!	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often should I feed them? Which time unit best describes it?
DUR	If it lasted 1 month, I could suck it up, but 1 day?	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long would it last? Which time unit best describes it?
FREQ	the food was horrible, not cooked like it should be; they got the order wrong on a number of occasions, and once forgot about my order.	43 44 45 46 47 48 49 50 51 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How often did they get the order wrong? Which time unit best describes it?
FREQ	Also, NASA has a large outreach program for education; some people believe this is important.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often does NASA's outreach program run educational activities? Which time unit best describes it?
FREQ	You who watch as budgets are cut in education and health care while you militarize a police force?	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often are budgets cut in education and health care? Which time unit best describes it?
DUR	Everything we ordered was prepared to perfection, and was presented perfectly.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long did it take to prepare everything? Which time unit best describes it?
TYP	Each evening you will get a 'magazine' called The Navigator, which lists all of the activities for the next day.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time does receiving The Navigator usually happen? Which time unit best describes it?
TYP	I took my 3-year-old son here at the weekend and, to be honest, apart from the shark walkway, I thought it was rubbish and overpriced.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	At what time does visiting this place usually happen? Which time unit best describes it?
FREQ	Since they knew our preferences, we almost always went along with their menu suggestions and were never sorry we did.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often did we go along with their menu suggestions? Which time unit best describes it?
DUR	Right now, while we're sitting at our computers enjoying the internet, those innocent, beautiful, loving cats are dying somewhere in this troubled world a slow, agonizing death.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long does their slow, agonizing death last? Which time unit best describes it?
DUR	$5.5 b - Estimated cost to secure fully U.S. ports over the next decade.	1 2 3 4 5 6 7 8 9 120 121 122	5.572730351111348e-12 6.296884648723474e-08 8.037356297882278e-05 0.004603998728773229 0.02870209972984776 0.08174969138345407 0.25935558127072855 0.3661526110790698 0.25935558127072855 0.0 0.0 0.0	How long will it take to fully secure US ports? Which time unit best describes it?
DUR	There can be many ideas; one can see numerous options passing through their mind.	1 2 3 4 5 6 7 8 9 120 121 122	0.7412392700826488 0.24912843928090708 0.009458406390501939 0.00016606286478555588 7.30646267660146e-06 5.120999881870982e-07 2.807187666675083e-09 1.1281434169352893e-11 2.2746998844715235e-14 0.0 0.0 0.0	How long do ideas or options typically pass through someone's mind? Which time unit best describes the duration?
FREQ	We were told by a detective and asked to check our credit for anything unusual.	43 44 45 46 47 48 49 50 51 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How often should we check our credit for anything unusual? Which time unit best describes it?
DUR	For $56, you can even have it expedited and will get it in three business days or your money back.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long will the expedited delivery take to arrive? Which time unit best describes it?
FREQ	The front staff has seen quite a bit of turnover and changed from professional to rude.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often does the front staff experience turnover? Which time unit best describes the frequency?
DUR	If you're looking to buy a car, definitely give them a call.	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long does looking to buy a car usually take? Which time unit best describes that duration?
FREQ	Boutique stores dealing in children's clothing/gifts are often outrageously priced (who wants to pay 40 dollars for a newborn onesie?)	43 44 45 46 47 48 49 50 51 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How often are boutique stores outrageously priced? Which time unit best describes it?
FREQ	The Mariner of the Seas traveled to its private island, Coco Cay and Labadee (the north coast of Haiti).	43 44 45 46 47 48 49 50 51 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How often does the Mariner of the Seas travel to Coco Cay and Labadee? Which time unit best describes it?
FREQ	Ironically, sometimes it is wise to newly picked eggs in fresh tap water with some chlorination to kill microscopic critters that ride in with the eggs.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often are newly picked eggs washed with chlorinated tap water to kill microscopic critters? Which time unit best describes it?
TYP	We have a Full Color Catalog and Wholesale Price List ready to mail to you today!	10 11 12 13 14 15 16 17 120 121 122 123	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.001 0.0 0.0 0.0 0.0	At what time will the catalog be mailed? Which time unit best describes it?
TYP	I urge all St. Thomas the Apostle parishioners and all of South Florida residents to come see Gus!	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time would people typically come to see Gus? Which time unit best describes it?
DUR	The only way to know for sure is to call 611, or your cell phone help line, and ask.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long does it take to call 611 or your cell phone help line and ask? Which time unit best describes it?
FREQ	And every time he sees someone, he will rush to people and jump on them; doesn't listen to me.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often does he rush to people and jump on them? Which time unit best describes it?
DUR	2005 will be a year of ups and downs, and only the flexible will be able to keep from going crazy!	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long will the ups and downs last in 2005? Which time unit best describes it?
TYP	I ordered a kid meal with a milk and found a bottle was half opened already.	10 11 12 13 14 15 16 17 120 121 122 123	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does ordering a kid meal with milk usually happen? Which time unit best describes it?
DUR	I am going on a private boat cruise with my friends from Florida.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long did the private boat cruise last? Which time unit best describes it?
DUR	We have limited time. What are the best sights to see, given that we only have a short time?	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long do we have to see the sights? Which time unit best describes it?
TYP	I bet you also did take charcoal, as it is used for barbecue, which does not get as hot as real coal (e.g., for blacksmithing, one needs coal, not barbecue charcoal).	37 38 39 40 120 121 122 123 124 125 126 127	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does using charcoal for barbecue usually happen? Which time unit best describes it?
